"Object Type","File Name","Parent ARK","Item ARK","Title","Creator","Contributor","Publisher","local ID","Publisher.place","volume | issue","Date.creatd","Date.created (single)","File_name","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Note.content","Subject.topic","IIIF Manifest URL"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1b89bzv","1959-06-14 (vol. 21, no. 134)","","","","ihc_hoy_19590614","Havana (Cuba)","vol. 21|~|no. 134","1959-06-14","1959-06-14","ihc_hoy_19590614.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b89bzv/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z16h8m7j","1959-06-16 (vol. 21, no. 135)","","","","ihc_hoy_19590616","Havana (Cuba)","vol. 21|~|no. 135","1959-06-16","1959-06-16","ihc_hoy_19590616.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h8m7j/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z12r7vht","1959-06-17 (vol. 21, no. 136)","","","","ihc_hoy_19590617","Havana (Cuba)","vol. 21|~|no. 136","1959-06-17","1959-06-17","ihc_hoy_19590617.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r7vht/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1z362hf","1959-06-18 (vol. 21, no. 137)","","","","ihc_hoy_19590618","Havana (Cuba)","vol. 21|~|no. 137","1959-06-18","1959-06-18","ihc_hoy_19590618.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z362hf/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1tb59r8","1959-06-19 (vol. 21, no. 138)","","","","ihc_hoy_19590619","Havana (Cuba)","vol. 21|~|no. 138","1959-06-19","1959-06-19","ihc_hoy_19590619.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tb59r8/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1pk4k1z","1959-06-20 (vol. 21, no. 139)","","","","ihc_hoy_19590620","Havana (Cuba)","vol. 21|~|no. 139","1959-06-20","1959-06-20","ihc_hoy_19590620.pdf","spa","text","newspapers","7 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pk4k1z/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1jt3t8s","1959-06-21 (vol. 21, no. 140)","","","","ihc_hoy_19590621","Havana (Cuba)","vol. 21|~|no. 140","1959-06-21","1959-06-21","ihc_hoy_19590621.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jt3t8s/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1f232k6","1959-06-23 (vol. 21, no. 141)","","","","ihc_hoy_19590623","Havana (Cuba)","vol. 21|~|no. 141","1959-06-23","1959-06-23","ihc_hoy_19590623.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f232k6/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z19929vg","1959-06-24 (vol. 21, no. 142)","","","","ihc_hoy_19590624","Havana (Cuba)","vol. 21|~|no. 142","1959-06-24","1959-06-24","ihc_hoy_19590624.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19929vg/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z15j1k3q","1959-06-25 (vol. 21, no. 143)","","","","ihc_hoy_19590625","Havana (Cuba)","vol. 21|~|no. 143","1959-06-25","1959-06-25","ihc_hoy_19590625.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15j1k3q/manifest"
