"Object Type","File Name","Parent ARK","Item ARK","Title","Creator","Contributor","Publisher","local ID","Publisher.place","volume | issue","Date.creatd","Date.created (single)","File_name","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Note.content","Subject.topic","IIIF Manifest URL"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1xs9zf1","1964-02-21 (vol. 26, no. 44) Segunda Edición","","","","ihc_hoy_19640221_segunda","Havana (Cuba)","vol. 26|~|no. 44","1964-02-21","1964-02-21","ihc_hoy_19640221_segunda.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.|~|Segunda edición","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs9zf1/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1t196q0","1964-02-22 (vol. 26, no. 45)","","","","ihc_hoy_19640222","Havana (Cuba)","vol. 26|~|no. 45","1964-02-22","1964-02-22","ihc_hoy_19640222.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t196q0/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1pc75ff","1964-02-22 (vol. 26, no. 45) Segunda Edición","","","","ihc_hoy_19640222_segunda","Havana (Cuba)","vol. 26|~|no. 45","1964-02-22","1964-02-22","ihc_hoy_19640222_segunda.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.|~|Segunda edición","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc75ff/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1jm6dqq","1964-02-23 (vol. 26, no. 46)","","","","ihc_hoy_19640223","Havana (Cuba)","vol. 26|~|no. 46","1964-02-23","1964-02-23","ihc_hoy_19640223.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm6dqq/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1dv5p0d","1964-02-23 (vol. 26, no. 46) Segunda Edición","","","","ihc_hoy_19640223_segunda","Havana (Cuba)","vol. 26|~|no. 46","1964-02-23","1964-02-23","ihc_hoy_19640223_segunda.pdf","spa","text","newspapers","10 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.|~|Segunda edición","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv5p0d/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1934x80","1964-02-25 (vol. 26, no. 47)","","","","ihc_hoy_19640225","Havana (Cuba)","vol. 26|~|no. 47","1964-02-25","1964-02-25","ihc_hoy_19640225.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1934x80/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z15b45k3","1964-02-25 (vol. 26, no. 47) Segunda Edición","","","","ihc_hoy_19640225_segunda","Havana (Cuba)","vol. 26|~|no. 47","1964-02-25","1964-02-25","ihc_hoy_19640225_segunda.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.|~|Segunda edición","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b45k3/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z11k3dvc","1964-02-26 (vol. 26, no. 48)","","","","ihc_hoy_19640226","Havana (Cuba)","vol. 26|~|no. 48","1964-02-26","1964-02-26","ihc_hoy_19640226.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k3dvc/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1wt2x96","1964-02-26 (vol. 26, no. 48) Segunda Edición","","","","ihc_hoy_19640226_segunda","Havana (Cuba)","vol. 26|~|no. 48","1964-02-26","1964-02-26","ihc_hoy_19640226_segunda.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.|~|Segunda edición","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt2x96/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1s50w1z","1964-02-27 (vol. 26, no. 49)","","","","ihc_hoy_19640227","Havana (Cuba)","vol. 26|~|no. 49","1964-02-27","1964-02-27","ihc_hoy_19640227.pdf","spa","text","newspapers","8 pages; digitzed microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s50w1z/manifest"
